START DATE,START TIME,START TIME ET,SUBJECT,LOCATION,DESCRIPTION,END DATE,END DATE ET,END TIME,END TIME ET,REMINDER OFF,REMINDER ON,REMINDER DATE,REMINDER TIME,REMINDER TIME ET,SHOWTIMEAS FREE,SHOWTIMEAS BUSY
02/23/18,02:05 PM,03:05 PM,Cubs at Brewers,Maryvale Baseball Park - Phoenix,"Local Radio: MLB.com",02/23/18,02/23/18,05:05 PM,06:05 PM,FALSE,TRUE,02/23/18,01:05 PM,02:05 PM,FREE,BUSY
02/24/18,02:05 PM,03:05 PM,Rangers at Cubs,Sloan Park - Mesa,"Local Radio: 670 The Score",02/24/18,02/24/18,05:05 PM,06:05 PM,FALSE,TRUE,02/24/18,01:05 PM,02:05 PM,FREE,BUSY
02/25/18,02:05 PM,03:05 PM,Cubs at Giants,Scottsdale Stadium - Scottsdale,"Local Radio: MLB.com",02/25/18,02/25/18,05:05 PM,06:05 PM,FALSE,TRUE,02/25/18,01:05 PM,02:05 PM,FREE,BUSY
02/26/18,02:05 PM,03:05 PM,Mariners at Cubs,Sloan Park - Mesa,"Local Radio: MLB.com",02/26/18,02/26/18,05:05 PM,06:05 PM,FALSE,TRUE,02/26/18,01:05 PM,02:05 PM,FREE,BUSY
02/27/18,02:05 PM,03:05 PM,White Sox at Cubs,Sloan Park - Mesa,"Local TV: WGN ----- Local Radio: MLB.com",02/27/18,02/27/18,05:05 PM,06:05 PM,FALSE,TRUE,02/27/18,01:05 PM,02:05 PM,FREE,BUSY
02/28/18,02:05 PM,03:05 PM,Athletics at Cubs,Sloan Park - Mesa,"Local Radio: MLB.com",02/28/18,02/28/18,05:05 PM,06:05 PM,FALSE,TRUE,02/28/18,01:05 PM,02:05 PM,FREE,BUSY
03/01/18,02:05 PM,03:05 PM,Rockies at Cubs,Sloan Park - Mesa,"Local Radio: MLB.com",03/01/18,03/01/18,05:05 PM,06:05 PM,FALSE,TRUE,03/01/18,01:05 PM,02:05 PM,FREE,BUSY
03/02/18,02:10 PM,03:10 PM,Cubs at Angels,Tempe Diablo Stadium - Tempe,"Local Radio: MLB.com",03/02/18,03/02/18,05:10 PM,06:10 PM,FALSE,TRUE,03/02/18,01:10 PM,02:10 PM,FREE,BUSY
03/03/18,02:05 PM,03:05 PM,Reds at Cubs,Sloan Park - Mesa,"Local Radio: 670 The Score",03/03/18,03/03/18,05:05 PM,06:05 PM,FALSE,TRUE,03/03/18,01:05 PM,02:05 PM,FREE,BUSY
03/04/18,02:10 PM,03:10 PM,Cubs at D-backs,Salt River Fields at Talking Stick - Scottsdale,"Local Radio: 670 The Score",03/04/18,03/04/18,05:10 PM,06:10 PM,FALSE,TRUE,03/04/18,01:10 PM,02:10 PM,FREE,BUSY
